MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,source_file,source_row_number,state_code,district_code,subdistrict_code,village_code,state_name,district_name,subdistrict_name,village_name_raw,village_name_display,village_name_normalized,row_type,has_og_marker,has_part_marker,has_rural_marker,has_ward_marker,has_double_space_raw,full_address,quality_flags,canonical_rank,duplicate_village_code_count,is_duplicate_village_code,is_canonical_village_code_row
8,RAJASTHAN,110,Jaipur,542.0,Phulera (Hq.Sambhar),79635,Shyam Nagar,Rdir_2011_08_RAJASTHAN.xls,56328,08,110,00542,079635,RAJASTHAN,Jaipur,Phulera (Hq.Sambhar),Shyam Nagar,Shyam Nagar,SHYAM NAGAR,VILLAGE,False,False,False,False,False,"Shyam Nagar, Phulera (Hq.Sambhar), Jaipur, RAJASTHAN, India",,0.11,2,True,True
8,RAJASTHAN,110,Jaipur,542.0,Phulera (Hq.Sambhar),79635,Shyam Nagar (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,56393,08,110,00542,079635,RAJASTHAN,Jaipur,Phulera (Hq.Sambhar),Shyam Nagar (OG) (Part),Shyam Nagar,SHYAM NAGAR,VILLAGE,True,True,False,False,False,"Shyam Nagar, Phulera (Hq.Sambhar), Jaipur, RAJASTHAN, India",OG|PART,15.23,2,True,False
8,RAJASTHAN,111,Sikar,553.0,Sikar,81559,Radha Kishanpura (Rural),Rdir_2011_08_RAJASTHAN.xls,58266,08,111,00553,081559,RAJASTHAN,Sikar,Sikar,Radha Kishanpura (Rural),Radha Kishanpura,RADHA KISHANPURA,VILLAGE,False,False,True,False,False,"Radha Kishanpura, Sikar, Sikar, RAJASTHAN, India",RURAL,4.24,2,True,True
8,RAJASTHAN,111,Sikar,553.0,Sikar,81559,Radakrishanpura Rural (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,58395,08,111,00553,081559,RAJASTHAN,Sikar,Sikar,Radakrishanpura Rural (OG) (Part),Radakrishanpura Rural,RADAKRISHANPURA RURAL,VILLAGE,True,True,True,False,False,"Radakrishanpura Rural, Sikar, Sikar, RAJASTHAN, India",OG|PART|RURAL,19.33,2,True,False
8,RAJASTHAN,111,Sikar,553.0,Sikar,81566,Chandpura (Rural),Rdir_2011_08_RAJASTHAN.xls,58273,08,111,00553,081566,RAJASTHAN,Sikar,Sikar,Chandpura (Rural),Chandpura,CHANDPURA,VILLAGE,False,False,True,False,False,"Chandpura, Sikar, Sikar, RAJASTHAN, India",RURAL,4.17,2,True,True
8,RAJASTHAN,111,Sikar,553.0,Sikar,81566,Chandrapura Rural (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,58396,08,111,00553,081566,RAJASTHAN,Sikar,Sikar,Chandrapura Rural (OG) (Part),Chandrapura Rural,CHANDRAPURA RURAL,VILLAGE,True,True,True,False,False,"Chandrapura Rural, Sikar, Sikar, RAJASTHAN, India",OG|PART|RURAL,19.29,2,True,False
8,RAJASTHAN,111,Sikar,555.0,Sri Madhopur,81951,Dayra (Rural),Rdir_2011_08_RAJASTHAN.xls,58662,08,111,00555,081951,RAJASTHAN,Sikar,Sri Madhopur,Dayra (Rural),Dayra,DAYRA,VILLAGE,False,False,True,False,False,"Dayra, Sri Madhopur, Sikar, RAJASTHAN, India",RURAL,4.13,2,True,True
8,RAJASTHAN,111,Sikar,555.0,Sri Madhopur,81951,Dayra (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,58881,08,111,00555,081951,RAJASTHAN,Sikar,Sri Madhopur,Dayra (OG) (Part),Dayra,DAYRA,VILLAGE,True,True,False,False,False,"Dayra, Sri Madhopur, Sikar, RAJASTHAN, India",OG|PART,15.17,2,True,False
8,RAJASTHAN,111,Sikar,555.0,Sri Madhopur,81960,Khandela (Rural),Rdir_2011_08_RAJASTHAN.xls,58671,08,111,00555,081960,RAJASTHAN,Sikar,Sri Madhopur,Khandela (Rural),Khandela,KHANDELA,VILLAGE,False,False,True,False,False,"Khandela, Sri Madhopur, Sikar, RAJASTHAN, India",RURAL,4.16,2,True,True
8,RAJASTHAN,111,Sikar,555.0,Sri Madhopur,81960,Khandela (Rural) (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,58883,08,111,00555,081960,RAJASTHAN,Sikar,Sri Madhopur,Khandela (Rural) (OG) (Part),Khandela,KHANDELA,VILLAGE,True,True,True,False,False,"Khandela, Sri Madhopur, Sikar, RAJASTHAN, India",OG|PART|RURAL,19.28,2,True,False
